Landing Page,Product Brand,Sessions,% New Sessions,New Users,Bounce Rate,Pages / Session,,,,
/product/h-and-m-mules/WE_Wu8_0fgAG8r_P,H&M,9,100.00%,9,44.44%,1.11,,,,
/product/h-and-m-tassel-earrings/VrnL0OSwPxAXAJjc,H&M,9,100.00%,9,55.56%,1,,,,
/product/h-samuel-sterling-silver-cubic-zirconia-bro-signet-ring/VC51nuSwJciQHiD4,H.Samuel,9,88.89%,8,66.67%,1.22,,,,
/product/hades-sonic-youth-jumper/V5UHzUzt_QAH4MmL,Hades,9,77.78%,7,22.22%,1.33,,,,
/product/hobbs-valerie-derby-shoes/WKy1ZcnnfAAFW2Ns,Hobbs,9,33.33%,3,22.22%,1,,,,
/product/hush-margaux-bag/WMlpVkzt_QAGZKx4,Hush,9,66.67%,6,0.00%,1.44,,,,
/product/jigsaw-lua-two-way-clutch/WMFVA8nnfAAFdyBd,Jigsaw,9,44.44%,4,44.44%,1,,,,
/product/joseph-duke-silk-long-sleeve-dress/WIcp0MnnfAAG8ex_,Joseph,9,55.56%,5,55.56%,1.11,,,,
/product/karen-millen-bell-sleeve-shirt/WKnMkkzt_QAFmguD,Karen Millen,9,77.78%,7,77.78%,1.33,,,,
/product/karen-millen-parade-coat/V_W-1snnfAAGXIcs,Karen Millen,9,55.56%,5,11.11%,1.33,,,,
/product/karen-millen-studded-shirt-dress/V39zyUzt_QAF2fDn,Karen Millen,9,88.89%,8,55.56%,1.33,,,,
/product/lavish-alice-twist-front-dress/WHTUKsnnfAAGkZ_u,Lavish Alice,9,44.44%,4,44.44%,1.33,,,,
/product/levi-s-710-flawless-fx-super-skinny-jeans/VcooleSw0SFdVHFi,Levi's,9,100.00%,9,88.89%,1,,,,
/product/lucy-williams-x-missoma-mini-fang-necklace/WGWJ50zt_QAFRqb6,Lucy Williams X Missoma,9,66.67%,6,11.11%,1.67,,,,
/product/mango-embroidered-bomber-jacket/V72d8M_0fgAGQnrc,Mango,9,88.89%,8,33.33%,1.22,,,,
/product/mango-leather-flap-bag/WHzIn8nnfAAGn94M,Mango,9,44.44%,4,22.22%,1.33,,,,
/product/mango-satin-pyjama-style-shirt/V4TALUzt_QAF6qIN,Mango,9,88.89%,8,77.78%,1,,,,
/product/marc-jacobs-flashed-navigator-saddle/WKRfjkzt_QAFTf7w,Marc Jacobs,9,77.78%,7,22.22%,1.78,,,,
/product/me-plus-em-the-knitted-breton-top/V_Lz3tYBgAAGUzQG,ME+EM,9,11.11%,1,11.11%,1,,,,
/product/missguided-premium-embellished-mini-dress/VwMBr-SwnKItlmSh,Missguided,9,66.67%,6,22.22%,1.33,,,,
/product/mulberry-mini-lily-hibiscus-bag/VLQNpuSwYfSw23sv,Mulberry,9,100.00%,9,77.78%,1.22,,,,
/product/needle-and-thread-lace-paneled-gown/WI49cVL6_wAFmskh,Needle & Thread,9,11.11%,1,0.00%,1.78,,,,
/product/needle-and-thread-supernova-embellished-dress/WKFldsnnfAAFaOuV,Needle & Thread,9,88.89%,8,44.44%,1.67,,,,
/product/new-look-floral-bomber-jacket/VwQpieSw-CgQCyS-,New Look,9,88.89%,8,44.44%,1.22,,,,
/product/new-look-velvet-platform-heels/V3Z8BUzt_QAGDGv1,New Look,9,88.89%,8,44.44%,1.22,,,,
/product/next-embroidered-cross-body-bag/WEaQsdYBgAAGSQfg,Next,9,77.78%,7,11.11%,1.67,,,,
/product/pretty-little-thing-riana-stripe-dress/V5TLOVL6_wAGawmY,Pretty Little Thing,9,88.89%,8,0.00%,1.44,,,,
/product/puma-ribbed-mini-skirt/WGzDdMnnfAAHnhQB,Puma,9,100.00%,9,55.56%,1.56,,,,
/product/river-island-cut-out-buckle-boots/WBjotcnnfAAGb_7-,River Island,9,77.78%,7,22.22%,1.44,,,,
/product/river-island-glitter-ankle-boots/WB-lEVL6_wAFKMw-,River Island,9,100.00%,9,44.44%,1.22,,,,
/product/river-island-metallic-pony-hair-mules/WH5YKMnnfAAFMGZ1,River Island,9,66.67%,6,22.22%,1,,,,
/product/rosetta-getty-granny-square-cardigan/VdMn1uSwATvPtD3x,Rosetta Getty,9,77.78%,7,77.78%,1,,,,
/product/russell-and-bromley-huggy-boots/VlzFWuSwGgD4MkD2,Russell & Bromley,9,66.67%,6,33.33%,1.33,,,,
/product/saint-laurent-zip-trapeze-skirt-in-tobacco-suede/VETkr-SwyfZKNR94,Saint Laurent,9,100.00%,9,100.00%,1,,,,
/product/sandro-alea-pompons-bag/WFeoD8nnfAAFZycg,Sandro,9,22.22%,2,0.00%,1.11,,,,
/product/self-portrait-lace-frill-shirt/WMaaXcnnfAAFWYkU,Self Portrait,9,44.44%,4,44.44%,1,,,,
/product/simone-perele-amour-push-up-bra/VKwSBuSwBG9Et2Y5,Simone Perele,9,44.44%,4,44.44%,1,,,,
/product/solace-london-alston-maxi-dress/VnFATeSwSFZGPCXi,Solace London,9,100.00%,9,66.67%,1.11,,,,
/product/supreme-playboy-denim-jacket/UxoOW-SwQ6kWC7bF,Supreme,9,77.78%,7,22.22%,1.33,,,,
/product/theodora-warre-gypsy-hoop-earrings/VOJstOSwZUhLdrnw,Theodora Warre,9,55.56%,5,22.22%,1.44,,,,
/product/tommy-jeans-logo-sweat-dress/WDODmkzt_QAGgFtm,Tommy Jeans,9,100.00%,9,44.44%,1.22,,,,
/product/topshop-copenhagen-star-trainers/VwyvN-SwKqou1UxW,Topshop,9,88.89%,8,33.33%,1.44,,,,
/product/topshop-floral-jacquard-kimono/U4qOheSwThmvsYd7,Topshop,9,55.56%,5,33.33%,1,,,,
/product/topshop-fortune-patch-cross-body-bag/V-UNBMnnfAAGZQ0G,Topshop,9,100.00%,9,44.44%,1.44,,,,
/product/topshop-palm-tree-sunglasses/U2O9ceSwyBpOIOhv,Topshop,9,66.67%,6,44.44%,1,,,,
/product/topshop-tiger-shopper-bag/V_ym0tYBgAAG6APE,Topshop,9,77.78%,7,44.44%,1.11,,,,
/product/toteme-chelsea-coat/WC74aUzt_QAFtdEJ,Toteme,9,33.33%,3,0.00%,1.22,,,,
/product/tularosa-sid-polka-dot-wrap-dress/V3EQXkzt_QAGBLSX,Tularosa,9,77.78%,7,44.44%,1,,,,
/product/urban-outfitters-heather-faux-fur-coat/V6SdJkzt_QAG8D_m,Urban Outfitters,9,77.78%,7,33.33%,1.22,,,,
/product/versace-studded-leather-trimmed-satin-shell-backpack/VMJq0OSwHh23EX8P,Versace,9,100.00%,9,88.89%,1,,,,
/product/vibi-venezia-rosso-slippers/Vm6BC-Sw2EABz3MH,ViBi Venezia,9,88.89%,8,33.33%,1.44,,,,
/product/vow-london-sophia-glitter-sunglasses/VUn2FuSw9RWyWV27,VOW London,9,77.78%,7,55.56%,1,,,,
/product/wanda-nylon-vinyl-trench-coat/V91DIcnnfAAFn8JV,Wanda Nylon,9,100.00%,9,88.89%,1.11,,,,
/product/warehouse-magnolia-wrap-dress/WMEA8Uzt_QAFUrco,Warehouse,9,66.67%,6,44.44%,1.11,,,,
/product/weekday-jimi-ss-jumpsuit/VwmXuuSw1FVGsPm6,Weekday,9,44.44%,4,33.33%,1.44,,,,
/product/whistles-briar-cutwork-dress/WI8jsc_0fgAFypVU,Whistles,9,66.67%,6,55.56%,1.33,,,,
/product/whistles-irina-feather-dress/WGPNVkzt_QAGk1eN,Whistles,9,88.89%,8,44.44%,1.22,,,,
/product/whistles-miriam-stripe-dress/VyB7VuSwI8hLsVM8,Whistles,9,66.67%,6,44.44%,1.11,,,,
/product/zara-backpack-with-zip/VXiN3eSw5FIbB2tC,Zara,9,33.33%,3,33.33%,1,,,,
/product/zara-bow-detailed-flat-shoes/WE_rFsnnfAAHiYj5,Zara,9,88.89%,8,55.56%,1.33,,,,
/product/zara-colored-fur-coat/VFDXd-SwwSzum9Ec,Zara,9,100.00%,9,77.78%,1.33,,,,
/product/zara-oversized-sheepskin-jacket/VghbmuSwu5M0EUMB,Zara,9,77.78%,7,55.56%,1.56,,,,
/product/zara-patent-biker-jacket/WA1uhsnnfAAFQL9I,Zara,9,77.78%,7,22.22%,1.22,,,,
/product/zara-reversible-anorak/WB_DQlL6_wAFKR1Z,Zara,9,77.78%,7,22.22%,1.44,,,,
/product/accessorize-chelsea-clutch-bag/Vx3vr-Swy7jif9i7,Accessorize,8,87.50%,7,12.50%,1.62,,,,
/product/acne-studios-hero-jeans-croc-bag/Vok-JeSwyZssZW8r,Acne Studios,8,62.50%,5,50.00%,2,,,,
/product/acne-studios-karlotta-striped-skirt/VtMv9eSw01U8QHLQ,Acne Studios,8,75.00%,6,37.50%,1.75,,,,
/product/adidas-by-stella-mccartney-stellasport-yvori-shoes/VKcFzeSwSaWupkBf,Adidas by Stella McCartney,8,87.50%,7,75.00%,1,,,,
/product/adidas-sandra-1977-red-tracksuit-bottoms/V9mrd0zt_QAFhYOM,adidas,8,100.00%,8,50.00%,1,,,,
/product/adidas-superstar-2-trainers/VKZmCuSw-pYK5_gF,adidas,8,12.50%,1,12.50%,1.12,,,,
/product/alberta-ferretti-suede-fringe-vest/VNy8OeSwu4EN2Hw9,Alberta Ferretti,8,100.00%,8,100.00%,1,,,,
/product/aldo-agnes-suede-ankle-boots/WBDoOlL6_wAGyyNZ,Aldo,8,100.00%,8,37.50%,1.25,,,,
/product/aldo-minett-shoes/WBKuD8nnfAAFN4YZ,Aldo,8,87.50%,7,62.50%,1.25,,,,
/product/aldo-snakeskin-boot/VhrNiuSwzMHMw0YC,Aldo,8,100.00%,8,62.50%,1.38,,,,
/product/all-saints-papin-leather-biker-jacket/WIceicnnfAAFkIlJ,All Saints,8,62.50%,5,62.50%,1,,,,
/product/and-other-stories-fleece-cape-hoodie/WH4rA8nnfAAFMDxT,& Other Stories,8,75.00%,6,62.50%,1,,,,
/product/and-other-stories-frill-collar-metallic-blouse/WJIf0snnfAAFcltQ,& Other Stories,8,12.50%,1,12.50%,1,,,,
/product/and-other-stories-frill-denim-dress/WHybgcnnfAAG_vKc,& Other Stories,8,50.00%,4,25.00%,1.12,,,,
/product/and-other-stories-frills-prairie-blossom-skirt/WLWzwsnnfAAFUpqr,& Other Stories,8,100.00%,8,50.00%,1.12,,,,
/product/and-other-stories-pointed-snakeskin-ankle-boots/WE39GtYBgAAF9a6c,& Other Stories,8,87.50%,7,50.00%,1.12,,,,
/product/and-other-stories-scuba-leather-tote/V_P53snnfAAGWZoU,& Other Stories,8,87.50%,7,25.00%,1.25,,,,
/product/and-other-stories-textured-glitter-knit-dress/WInZts_0fgAFRIpl,& Other Stories,8,37.50%,3,25.00%,2,,,,
/product/anya-hindmarch-smiley-cross-body-bag/VsBy6uSwx9_h6Gk9,Anya Hindmarch,8,25.00%,2,25.00%,1.12,,,,
/product/anya-hindmarch-space-invaders-shoulder-bag/V82qU8nnfAAF1u4o,Anya Hindmarch,8,25.00%,2,12.50%,1.25,,,,
/product/asos-darrell-pom-pom-trainers/Vl1g2-SwipP6EKiO,ASOS,8,100.00%,8,50.00%,1.38,,,,
/product/asos-lili-pearl-embellished-flats/WBtbN0zt_QAH47gx,ASOS,8,50.00%,4,0.00%,2,,,,
/product/asos-pretty-embroidered-mesh-maxi-dress/V2kuTUzt_QAGcJ3w,ASOS,8,100.00%,8,0.00%,1.38,,,,
/product/asos-rocker-and-roller-multi-buckle-ankle-boots/VQYcluSwGvIXNj-v,ASOS,8,87.50%,7,50.00%,1.25,,,,
/product/asos-salon-embroidered-sheer-dress/WCryYsnnfAAFFxjQ,ASOS,8,100.00%,8,37.50%,1.25,,,,
/product/asos-sparkle-embellished-mesh-maxi-dress/VWNLgeSwXPBxjJnj,ASOS,8,87.50%,7,37.50%,1.12,,,,
/product/atterley-poet-sleeve-blouse/VkH23uSwNUycm376,Atterley,8,100.00%,8,87.50%,1.38,,,,
/product/axel-arigato-clean-90-sneaker/V8A0SNwOggAGUa95,Axel Arigato,8,75.00%,6,0.00%,1.62,,,,
/product/bershka-bsk-patch-detail-baseball-jacket/U0GFXOSw5JAHqkL_,Bershka,8,50.00%,4,25.00%,2,,,,
/product/boden-cashmere-jumper/V6Ppf0zt_QAHo-3s,Boden,8,62.50%,5,37.50%,2.5,,,,
/product/boden-elizabeth-british-tweed-blazer/V-fKC1L6_wAF15Io,Boden,8,0.00%,0,0.00%,1,,,,
/product/by-malene-birger-fatale-coat/WLC00Ezt_QAGaLN3,By Malene Birger,8,62.50%,5,62.50%,1.12,,,,
/product/by-malene-birger-ingrid-shoulder-bag/VsNTjOSwm6hXvJ-O,By Malene Birger,8,62.50%,5,62.50%,1.12,,,,
/product/by-malene-birger-lanfi-striped-blouse/WLcwVMnnfAAFAfyh,By Malene Birger,8,62.50%,5,37.50%,1.38,,,,
/product/charles-and-keith-circular-buckle-bag/V_bXFcnnfAAGPdSl,Charles & Keith,8,87.50%,7,87.50%,1,,,,
/product/claire-s-red-nose-day-large-ball-earrings/VPbLbOSwCcdKjwoL,Claire's,8,62.50%,5,12.50%,1.25,,,,
/product/coliac-fernanda-shoes/V81BPcnnfAAFlU-k,Coliac,8,50.00%,4,12.50%,1.5,,,,
/product/cooperative-denim-midi-skirt/VRLzEOSwZI4wZg3V,Cooperative,8,87.50%,7,25.00%,1.38,,,,
/product/cooperative-stripe-marl-ringer-tee/VZI_h-SwUMfcW1Ee,Cooperative,8,100.00%,8,12.50%,1.25,,,,
/product/cos-unstructured-shopper-bag/WK9qV8nnfAAFSN2w,COS,8,62.50%,5,37.50%,1.38,,,,
/product/cos-warped-circle-necklace/WCufAcnnfAAFeYo3,COS,8,100.00%,8,12.50%,1.38,,,,
/product/cos-wavy-stitch-high-neck-top/WLoaIEzt_QAFNWBZ,COS,8,0.00%,0,0.00%,1.12,,,,
/product/diane-von-furstenberg-starla-belted-jumpsuit/V5cek0zt_QAFY1b7,Diane von Furstenberg,8,0.00%,0,0.00%,1.38,,,,
/product/dior-rose-des-vents-ring/V6hBKlL6_wAFVBG3,Dior,8,75.00%,6,62.50%,1.12,,,,
/product/dolce-and-gabbana-milano-t-shirt/WKgRQcnnfAAG1Rwf,Dolce & Gabbana,8,100.00%,8,62.50%,1.88,,,,
/product/dries-van-noten-chunky-heel-metallic-sandals/WCeXGMnnfAAGRgqj,Dries Van Noten,8,37.50%,3,0.00%,1.62,,,,
/product/dune-london-quentin-brogue-chelsea-boot/VtSkSOSw01U8QJto,Dune London,8,37.50%,3,12.50%,1.5,,,,
/product/elizabeth-and-james-mckinley-round-frame-sunglasses/V9uqzcnnfAAHmHMS,Elizabeth and James,8,100.00%,8,50.00%,1.38,,,,
/product/finery-barbel-squiggle-print-dress/WEVNfcnnfAAFaGae,Finery,8,37.50%,3,12.50%,2.25,,,,
/product/finery-finery-miniver-zebra-skirt/WBhf4cnnfAAGET4V,Finery,8,37.50%,3,37.50%,2,,,,
/product/free-people-twin-sundown-platform/VkwcEeSw6vb6CZHj,Free People,8,100.00%,8,75.00%,1,,,,
/product/french-connection-milano-mozart-high-neck-jumper/WLlmFUzt_QAFMvrN,French Connection,8,62.50%,5,62.50%,1.25,,,,
/product/ganni-space-shake-t-shirt/WFPq9kzt_QAGYqJW,Ganni,8,62.50%,5,50.00%,1.25,,,,
/product/givenchy-rottweiler-printed-nylon-backpack/U61tieSwbIcmqGW4,Givenchy,8,12.50%,1,12.50%,1,,,,
/product/glamorous-bow-detail-denim-jacket/WFrSSEzt_QAFBQBm,Glamorous,8,100.00%,8,37.50%,1.38,,,,
/product/gucci-logo-stripe-slider-sandal/VvcfGOSwLCjBUkOY,Gucci,8,100.00%,8,87.50%,1,,,,
/product/gucci-metallic-pumps/VkKDPOSwD5KEDYE1,Gucci,8,87.50%,7,50.00%,1.88,,,,
/product/guess-bobbi-reversible-shopper/WLVRm0zt_QAG2U_A,Guess,8,100.00%,8,50.00%,1.5,,,,
/product/h-and-m-boyfriend-low-ripped-jeans/V2kYdUzt_QAGcAme,H&M,8,75.00%,6,62.50%,1.12,,,,
/product/h-and-m-long-dress/WGcKs0zt_QAFSL3R,H&M,8,0.00%,0,0.00%,1,,,,
/product/h-and-m-parka/VqjA7OSwhDP8UkSK,H&M,8,75.00%,6,50.00%,1.38,,,,
/product/h-and-m-pile-jacket/WDv4ycnnfAAGadvn,H&M,8,37.50%,3,25.00%,1.38,,,,
/product/h-and-m-striped-skirt/V2AJekzt_QAFiXXa,H&M,8,50.00%,4,25.00%,1.38,,,,
/product/hush-leather-star-trainers/WHeEacnnfAAHLC8V,Hush,8,87.50%,7,50.00%,1.12,,,,
/product/isabel-marant-celia-reversible-bomber-jacket/WA86eFL6_wAHAK91,Isabel Marant,8,100.00%,8,37.50%,1.38,,,,
/product/isabel-marant-etoile-endless-t-shirt/WA9J-snnfAAFRh2N,Isabel Marant Ã‰toile,8,87.50%,7,50.00%,1.12,,,,
/product/jaeger-fit-and-flare-panel-dress/WMknqsnnfAAGgo3e,Jaeger,8,12.50%,1,12.50%,7.38,,,,
/product/jigsaw-artisan-tailoring-dress/V5Vm9VL6_wAGbF2z,Jigsaw,8,0.00%,0,0.00%,1.62,,,,
/product/jigsaw-crocus-drape-shirt/WLDpyMnnfAAGhcJ7,Jigsaw,8,75.00%,6,75.00%,1.12,,,,
/product/jigsaw-issa-kitten-heel-shoes/WEAksMnnfAAGSWJt,Jigsaw,8,62.50%,5,37.50%,1.25,,,,
/product/jigsaw-orla-suede-hobo-bag/U6IaQ-SwdomwTiwT,Jigsaw,8,87.50%,7,37.50%,2.12,,,,
/product/karen-millen-geo-knit-jumper/WMZlYUzt_QAFeGM7,Karen Millen,8,75.00%,6,50.00%,1.25,,,,
/product/kate-spade-cameron-street-plaid-maise-bag/VlyhV-SwipP6EKNU,Kate Spade,8,87.50%,7,75.00%,1.12,,,,
/product/keds-x-kate-spade-champion-triple-glitter-trainers/ViatnOSwmet0w5xj,Keds X Kate Spade,8,75.00%,6,50.00%,1.25,,,,
/product/koral/V3qcc0zt_QAFN3Fd,Koral,8,37.50%,3,25.00%,1,,,,
/product/little-mistress-crochet-lace-dress/WDY-1lL6_wAG8s24,Little Mistress,8,75.00%,6,0.00%,1.25,,,,
/product/longchamp-penelope-fantaisie-moccasins/V-4CusnnfAAG9sb6,Longchamp,8,87.50%,7,12.50%,1.38,,,,
/product/mango-beaded-cape/VckmK-Sw0SFdVGzp,Mango,8,100.00%,8,25.00%,2,,,,
/product/mango-t-shirt/WKnLaUzt_QAFmgl-,Mango,8,37.50%,3,12.50%,1.12,,,,
/product/mango-wow-clutch/WCrjEsnnfAAFFwtJ,Mango,8,87.50%,7,50.00%,1.25,,,,
/product/manu-atelier-mini-fernweh-backpack/Vu7-seSwe9lPqOrz,MANU Atelier,8,50.00%,4,37.50%,1.5,,,,
/product/marc-jacobs-st-marc-shoulder-bag/V9d_HsnnfAAFrQjD,Marc Jacobs,8,50.00%,4,37.50%,1,,,,
/product/marks-and-spencer-autograph-statement-sleeve-blouse/WKiyisnnfAAG1lGM,Marks and Spencer - Autograph,8,87.50%,7,62.50%,1.62,,,,
/product/marks-and-spencer-striped-long-sleeve-blouse/WHdWOMnnfAAG7uYT,Marks and Spencer,8,25.00%,2,12.50%,1,,,,
/product/massimo-dutti-suede-shoes/WD1ftMnnfAAG-2c-,Massimo Dutti,8,25.00%,2,25.00%,1.75,,,,
/product/michael-kors-scout-medium-leather-camera-bag/WBMdaMnnfAAG6zOO,Michael Kors,8,87.50%,7,75.00%,1,,,,
/product/mih-jeans-goldieblouse/WIoZuM_0fgAGLnKv,MiH Jeans,8,37.50%,3,37.50%,1.62,,,,
/product/mih-jeans-the-midi-button-through-stretch-denim-skirt/VH3ccOSw2-Ajyok7,MiH Jeans,8,100.00%,8,75.00%,1,,,,
/product/miu-miu-crystal-embellished-clip-on-earrings/VRQjX-SwZI4wZg5w,Miu Miu,8,87.50%,7,37.50%,1.75,,,,
/product/miu-miu-heart-sunglasses/WJeMFcnnfAAGKkyi,Miu Miu,8,87.50%,7,75.00%,1.25,,,,
/product/mm6-maison-martin-margiela-side-stripe-track-pants/WKgUasnnfAAFIT-7,MM6 Maison Martin Margiela,8,75.00%,6,62.50%,1,,,,
/product/monki-stretch-cotton-tee/V2LtMkzt_QAGqRyg,MONKI,8,100.00%,8,75.00%,1,,,,
/product/needle-and-thread-dragonfly-embellished-dress/WLBYzkzt_QAGaAyO,Needle & Thread,8,75.00%,6,25.00%,1.62,,,,
/product/needle-and-thread-petal-embellished-tulle-gown/WFzsDsnnfAAGSjFS,Needle & Thread,8,100.00%,8,62.50%,1.12,,,,
/product/new-look-denim-wrap-skirt/VwTtpuSwnKItluan,New Look,8,100.00%,8,37.50%,1.12,,,,
/product/new-look-wide-fit-dark-red-velvet-t-bar-block-heels/VGsY3uSwkeh8jMQN,New Look,8,87.50%,7,62.50%,1.25,,,,
/product/next-check-coat/WAjwUs_0fgAGmw50,Next,8,100.00%,8,62.50%,1.5,,,,
/product/next-ponte-stirrup-leggings/V-fULlL6_wAF15_o,Next,8,75.00%,6,75.00%,1,,,,
/product/next-suede-duffle-bag/WBJEZ8nnfAAGtYcr,Next,8,37.50%,3,37.50%,1,,,,
/product/next-suede-trench-coat/V-z_ZEzt_QAG_rQz,Next,8,75.00%,6,25.00%,1.38,,,,
/product/nike-victory-metallic-backpack/Vo0oauSw71cD81N2,Nike,8,87.50%,7,37.50%,1.5,,,,
/product/oasis-suede-crop-top/VR7vMeSw1Iikdx6Z,Oasis,8,87.50%,7,50.00%,1.38,,,,
/product/paper-dolls-crochet-lace-bardot-dress/V5nUwUzt_QAGVCCO,Paper Dolls,8,75.00%,6,50.00%,1.25,,,,
/product/paul-s-boutique-gwyneth-backpack/Vq6OLOSwto2ZfLd6,Paul's Boutique,8,100.00%,8,87.50%,1.25,,,,
/product/perfect-moment-imok-padded-stretch-shell-ski-pants/VMJ23eSwK38T9lHz,Perfect Moment,8,100.00%,8,12.50%,1.12,,,,
/product/raf-simons-big-caban-with-sterling-ruby-collages/U6v8CeSw_xxqBuuE,Raf Simons,8,87.50%,7,0.00%,1,,,,
/product/raf-simons-x-adidas-bunny-rising-star-boots/U6wCd-SwxHQUO8-D,Raf Simons,8,100.00%,8,62.50%,1.25,,,,
/product/ralph-lauren-slim-astor-boyfriend-jean/VNk0leSwMIBVOwUy,Ralph Lauren,8,87.50%,7,50.00%,1,,,,
/product/red-valentino-floral-print-taffeta-mini-dress/VJAR-OSwwnuARpTU,Red Valentino,8,37.50%,3,37.50%,1,,,,
/product/river-island-denim-embroidered-backpack/WGzdnsnnfAAHnjTP,River Island,8,87.50%,7,50.00%,1.5,,,,
/product/river-island-floral-embroidered-dress/V7Z8Xkzt_QAHGTOo,River Island,8,100.00%,8,50.00%,1.62,,,,
/product/river-island-leopard-print-espadrilles/VzwX_uSwe9B19gpE,River Island,8,100.00%,8,25.00%,1.12,,,,
/product/river-island-leopard-print-loafers/V-LhO8_0fgAFAJKe,River Island,8,75.00%,6,25.00%,2.38,,,,
/product/river-island-patent-aviator-coat/WCWytcnnfAAFjCGu,River Island,8,87.50%,7,62.50%,2,,,,
/product/sandro-camille-trainers/V6nLTEzt_QAGJSwA,Sandro,8,75.00%,6,50.00%,1.25,,,,
/product/sandro-parigo-trouser-jumpsuit/VwmkkuSwKqou1Heh,Sandro,8,87.50%,7,50.00%,1.12,,,,
/product/sezane-quilted-belli-bag/VxHoROSwCRzT7Sth,Sezane,8,100.00%,8,87.50%,1.38,,,,
/product/simone-rocha-embellished-scuba-bag/VqsPPuSwZFBx6E_h,Simone Rocha,8,50.00%,4,0.00%,1.88,,,,
/product/stradivarius-bonded-trench/V-zNvtYBgAAGOTt_,Stradivarius,8,87.50%,7,62.50%,1.12,,,,
/product/swarovski-slake-activity-crystal-set/Vop4e-SwyZssZYSl,Swarovski,8,100.00%,8,87.50%,1.25,,,,
/product/ted-baker-immeny-holdall-bag/WEq6ntYBgAAHXC8t,Ted Baker,8,50.00%,4,50.00%,1,,,,
/product/ted-baker-jamnie-peplum-dress/WKYPxUzt_QAFzgyL,Ted Baker,8,75.00%,6,50.00%,1.38,,,,
/product/the-laden-showroom-mirror-mirror-midi-shirt-dress/VLkPI-SwLjn2MA9Q,The Laden Showroom,8,50.00%,4,25.00%,1.12,,,,
/product/tiger-of-sweden-diorite-bag/VHRMS-SwII0VKSmK,Tiger of Sweden,8,75.00%,6,62.50%,1.12,,,,
/product/toast-swing-parka/VvCfXuSwZ01SSFaZ,Toast,8,50.00%,4,37.50%,1.12,,,,
/product/tom-ford-saskia-cat-eye-sunglasses/Vafoq-Swyy3ggSfa,Tom Ford,8,100.00%,8,62.50%,1.25,,,,
/product/tommy-hilfiger-gigi-patchwork-stripe-pencil-skirt/WMFVFMnnfAAFdyB1,Tommy Hilfiger,8,100.00%,8,50.00%,1.5,,,,
/product/topshop-faux-fur-aviator-jacket/Vp_IC-Swu-8J2-qn,Topshop,8,100.00%,8,62.50%,1.12,,,,
/product/topshop-jemma-court-shoes/WIzCsM_0fgAGZwuF,Topshop,8,25.00%,2,0.00%,1.25,,,,
/product/topshop-kute-ballet-ankle-pumps/WHeQrsnnfAAHLD8a,Topshop,8,12.50%,1,12.50%,1.5,,,,
/product/topshop-moto-floral-embroidered-mom-jeans/VzwwkuSwe9B19hqS,Topshop,8,100.00%,8,62.50%,1.12,,,,
/product/topshop-oriental-print-casual-shirt/WBXnZ8nnfAAGHKJh,Topshop,8,75.00%,6,50.00%,1.5,,,,
/product/topshop-pearl-embellished-mom-jeans/WGDbrcnnfAAGMq1Z,Topshop,8,100.00%,8,37.50%,1.38,,,,
/product/topshop-pointed-zebra-heels/WIyr9M_0fgAGZuSP,Topshop,8,25.00%,2,12.50%,1.25,,,,
/product/topshop-sno-metallic-ski-jacket/WFf_esnnfAAFaKWE,Topshop,8,75.00%,6,25.00%,1.88,,,,
/product/topshop-unique-aubrey-wrap-dress/V9_VBMnnfAAHn_3B,Topshop Unique,8,87.50%,7,0.00%,1.12,,,,
/product/toteme-biot-sandals/U7HEreSw1RFv6Yf4,Toteme,8,87.50%,7,37.50%,1,,,,
/product/uterque-floral-embroidered-dress/WKhwAMnnfAAG1dKd,UterqÃ_e,8,50.00%,4,37.50%,1,,,,
/product/uterque-jewel-sneaker/VQhQI-SwfUlQveBp,UterqÃ_e,8,100.00%,8,62.50%,1.25,,,,
/product/valentino-mini-rockstud-crossbody-bag/VMYnceSwK38T9lME,Valentino,8,100.00%,8,100.00%,1,,,,
/product/very-ruffle-bottom-jeans/V-Jai0zt_QAGsXPu,Very,8,100.00%,8,62.50%,1.38,,,,
/product/warehouse-lace-ruffle-dress/V54liM_0fgAGn4ca,Warehouse,8,62.50%,5,37.50%,1,,,,
/product/warehouse-longline-duster-coat/WHYGD8nnfAAGQ8C4,Warehouse,8,75.00%,6,62.50%,1,,,,
/product/warehouse-patchwork-print-jumper/WLU_bMnnfAAFUeeC,Warehouse,8,12.50%,1,0.00%,1.12,,,,
/product/warehouse-rope-print-ponte-dress/WIEUMcnnfAAGXVE7,Warehouse,8,87.50%,7,50.00%,1.88,,,,
/product/whistles-elyse-side-stripe-trousers/WHyfd8nnfAAGn7eG,Whistles,8,87.50%,7,62.50%,1.12,,,,
/product/whistles-stacked-stone-sphere-stud/WKby4Uzt_QAGg5Mn,Whistles,8,50.00%,4,25.00%,1.75,,,,
/product/white-stuff-little-crocus-cardi/WJhyscnnfAAGDHhv,White Stuff,8,75.00%,6,50.00%,1.25,,,,
/product/wyse-london-ines-rainbow-jumper/Vt11yOSw01U8QUgb,Wyse London,8,87.50%,7,37.50%,1.38,,,,
/product/zara-a-line-mini-skirt/Vx--UuSwI8hLsQZy,Zara,8,75.00%,6,62.50%,1,,,,
/product/zara-bow-leather-ankle-boots/WC-XVVkIAQAFEvxB,Zara,8,100.00%,8,12.50%,1,,,,
